seed,steps,n,topology,num_communities,p_in,p_out,bridge_fraction,delay_steps,k,alarm_threshold,influence_weight,learning,regulator,regulator_force,enable_content,enable_noise,bridge_multiplier,name,condition,L_mean_tail,L_max,L_amp_tail,L_std_tail,M_mean_tail,M_max,M_amp_tail,M_std_tail,R_mean_tail,R_max,R_amp_tail,R_std_tail,alarm_true_mean_tail,alarm_true_max,alarm_true_amp_tail,alarm_true_std_tail,alarm_delayed_mean_tail,alarm_delayed_max,alarm_delayed_amp_tail,alarm_delayed_std_tail,avg_repression_mean_tail,avg_repression_max,avg_repression_amp_tail,avg_repression_std_tail,punished_fraction_mean_tail,punished_fraction_max,punished_fraction_amp_tail,punished_fraction_std_tail,usefulness_mean_tail,usefulness_max,usefulness_amp_tail,usefulness_std_tail,regulator_force_mean_tail,regulator_force_max,regulator_force_amp_tail,regulator_force_std_tail,bridge_radical_fraction_mean_tail,bridge_radical_fraction_max,bridge_radical_fraction_amp_tail,bridge_radical_fraction_std_tail,dangerous_radical_bridge_fraction_mean_tail,dangerous_radical_bridge_fraction_max,dangerous_radical_bridge_fraction_amp_tail,dangerous_radical_bridge_fraction_std_tail,false_positive_rate_mean_tail,false_positive_rate_max,false_positive_rate_amp_tail,false_positive_rate_std_tail,false_negative_rate_mean_tail,false_negative_rate_max,false_negative_rate_amp_tail,false_negative_rate_std_tail,false_positive_bridge_rate_mean_tail,false_positive_bridge_rate_max,false_positive_bridge_rate_amp_tail,false_positive_bridge_rate_std_tail,false_negative_bridge_rate_mean_tail,false_negative_bridge_rate_max,false_negative_bridge_rate_amp_tail,false_negative_bridge_rate_std_tail,regime_fixed,regime
1,500,240,modular,6,0.08,0.004,0.12,0,20.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.3377166666666667,0.8333333333333334,0.13749999999999996,0.0245151937015032,0.4142,0.5041666666666667,0.15833333333333333,0.025669350509032275,0.24808333333333332,0.3875,0.12500000000000003,0.021820129595296993,0.6736657803594199,0.8350143278851493,0.18637219928409443,0.03157155091966272,0.6738442408868434,0.8350143278851493,0.18637219928409443,0.031688869190238875,0.22463943549536486,0.681347769291795,0.47349374432711605,0.0936350604803307,0.22518333333333335,0.65,0.5375,0.10337650845332319,2.18575432452438,2.370716128961089,0.2559776827718512,0.04385294400455275,1.0,1.0,0.0,0.0,0.30857142857142855,0.5357142857142857,0.35714285714285715,0.0695319629922169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,oscillatory
2,500,240,modular,6,0.08,0.004,0.12,0,20.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.35095000000000004,0.7875,0.125,0.023342266147246476,0.3977166666666667,0.4666666666666667,0.14166666666666666,0.02415218531635503,0.25133333333333335,0.3541666666666667,0.1,0.021019831905449038,0.6612019436982748,0.7931353903153742,0.14990965984182691,0.029079787927713527,0.6613627960241701,0.7931353903153742,0.14990965984182691,0.02902501012343817,0.18433781338522487,0.5958874891924791,0.36431854830223714,0.07501761269770377,0.18348333333333336,0.6541666666666667,0.3875,0.0791766116560524,2.1604909919481767,2.338089224511075,0.22374717790110044,0.04204577389588332,1.0,1.0,0.0,0.0,0.3167142857142857,0.5357142857142857,0.4642857142857143,0.07265532271187945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
3,500,240,modular,6,0.08,0.004,0.12,0,20.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.3567166666666667,0.8,0.125,0.022890688305752433,0.3894666666666666,0.4791666666666667,0.15000000000000002,0.025879399786960543,0.2538166666666667,0.3625,0.14583333333333334,0.022040423720468213,0.6540053611069586,0.7715743451004692,0.1771001479451797,0.027713937407130018,0.6542543788746064,0.7715743451004692,0.1771001479451797,0.027678284330736592,0.16516931692272943,0.5403903117006521,0.3924555385681926,0.06904196027709104,0.16533333333333333,0.5166666666666667,0.4083333333333333,0.07216127770487438,2.17170272040975,2.3240117813033434,0.2475648785292046,0.04133032359591775,1.0,1.0,0.0,0.0,0.21128571428571427,0.4642857142857143,0.3214285714285714,0.060408304605460685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,oscillatory
4,500,240,modular,6,0.08,0.004,0.12,0,20.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.3790666666666667,0.7791666666666667,0.1166666666666667,0.022375979184036717,0.3943,0.4708333333333333,0.14166666666666666,0.023324617419751555,0.22663333333333333,0.3541666666666667,0.09166666666666665,0.017727850029449894,0.6160431436575662,0.7480166264711727,0.11892910766626574,0.02499595641185931,0.6163401899372725,0.7480166264711727,0.11892910766626574,0.0251066670462659,0.08974265988250213,0.4708007381443939,0.18951937004098493,0.03922791465730775,0.09215000000000001,0.4708333333333333,0.22916666666666666,0.045694969939565316,2.128451055834508,2.2806447604471463,0.20152986521465488,0.03859561383171138,1.0,1.0,0.0,0.0,0.20785714285714282,0.42857142857142855,0.3571428571428571,0.05919959321426705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
5,500,240,modular,6,0.08,0.004,0.12,0,20.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.3323833333333333,0.7666666666666667,0.12083333333333335,0.021956402508405408,0.4168333333333334,0.5,0.15000000000000002,0.024001736048322283,0.25078333333333336,0.36666666666666664,0.11249999999999999,0.02179794205373016,0.6667557595014382,0.7767582969587788,0.15738077205248568,0.027511582350872404,0.6667647627500612,0.7767582969587788,0.15738077205248568,0.027507783288900575,0.1965887929905299,0.5526811392244861,0.40252765241887845,0.07529862932404527,0.19793333333333335,0.6041666666666666,0.44166666666666665,0.07934562929921779,2.175737260119646,2.3058217965088357,0.2327283814505643,0.04007920760503755,1.0,1.0,0.0,0.0,0.28771428571428564,0.4642857142857143,0.35714285714285715,0.06566830689619038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
6,500,240,modular,6,0.08,0.004,0.12,0,20.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.3495,0.7958333333333333,0.12916666666666665,0.02375570107012911,0.4032,0.48333333333333334,0.125,0.021334869736341647,0.2473,0.3416666666666667,0.12500000000000003,0.02148162005063864,0.6500454662406645,0.7267339214540447,0.18046733690724825,0.029204548537865433,0.6498755048530229,0.7267339214540447,0.18046733690724825,0.029253649517127667,0.15564069091687754,0.39068357420742195,0.36868888463970517,0.06927997669875993,0.15246666666666667,0.4041666666666667,0.375,0.07177336243729672,2.158254489487817,2.2776976343813624,0.2664092495907391,0.04414595023535437,1.0,1.0,0.0,0.0,0.2768571428571429,0.5,0.35714285714285715,0.0701537669723313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,oscillatory
7,500,240,modular,6,0.08,0.004,0.12,0,20.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.37823333333333337,0.8416666666666667,0.11249999999999999,0.023093192840219292,0.3641166666666667,0.42916666666666664,0.125,0.024197342599733735,0.25765,0.3375,0.10833333333333331,0.021275762161566753,0.6462361599544907,0.7406914663163682,0.14799727383211503,0.0285409910706992,0.6463197526338962,0.7406914663163682,0.14799727383211503,0.02857973558277235,0.15173195726927355,0.45460736710159144,0.31092092975790286,0.06364005422211924,0.15328333333333333,0.5083333333333333,0.33333333333333337,0.0679643309227552,2.1428933620736967,2.259849927786519,0.21993297251523458,0.04293131114880314,1.0,1.0,0.0,0.0,0.3157142857142857,0.6428571428571429,0.42857142857142855,0.06945854732081838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
8,500,240,modular,6,0.08,0.004,0.12,0,20.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.3755833333333333,0.8,0.13333333333333336,0.023552689159980583,0.3574166666666666,0.425,0.1333333333333333,0.022756104187179705,0.267,0.3458333333333333,0.12916666666666668,0.024754909726265525,0.6552978226546582,0.7386511527962404,0.17131330548848867,0.032297709357183006,0.6554329033890138,0.7386511527962404,0.17131330548848867,0.03228911769404363,0.17439949027527038,0.44172571649880754,0.4001378041211902,0.08029733560267226,0.17168333333333333,0.4583333333333333,0.4083333333333333,0.08121242549976915,2.1100245238261484,2.2286170988452847,0.25210610736678163,0.04442111137227457,1.0,1.0,0.0,0.0,0.27928571428571436,0.5,0.39285714285714285,0.06987233255833712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,oscillatory
9,500,240,modular,6,0.08,0.004,0.12,0,20.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.34291666666666665,0.7583333333333333,0.125,0.023585688928293408,0.40066666666666667,0.49583333333333335,0.1875,0.02423782626850482,0.2564166666666666,0.35833333333333334,0.13333333333333336,0.022629411785943042,0.6594083227224108,0.7662516776320595,0.16175130053254005,0.03045148904205282,0.6592334768860088,0.7662516776320595,0.16175130053254005,0.03043690952357758,0.18123040036260984,0.5300311175164178,0.40617871903307473,0.08057930785908086,0.17995,0.5333333333333333,0.44166666666666665,0.08474642077004393,2.189266676747653,2.311106640423739,0.23414540106192483,0.04499513880009214,1.0,1.0,0.0,0.0,0.32742857142857146,0.5714285714285714,0.3214285714285714,0.0641643298452481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,oscillatory
10,500,240,modular,6,0.08,0.004,0.12,0,20.0,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.3828666666666667,0.7875,0.13333333333333336,0.022234332811117936,0.3647833333333333,0.42916666666666664,0.13749999999999996,0.022918824140867263,0.25234999999999996,0.3625,0.10416666666666669,0.019592154041860738,0.6469818345236431,0.815522468549318,0.153086101761453,0.026378052857993852,0.6468154146453817,0.815522468549318,0.153086101761453,0.02635860821829459,0.15045410073795096,0.654038766763373,0.33903541452207864,0.061985512440481845,0.15289999999999998,0.7041666666666667,0.3458333333333333,0.0652340316774066,2.1271725227961538,2.343472810830723,0.22579462610878664,0.04018106318671066,1.0,1.0,0.0,0.0,0.3178571428571429,0.5357142857142857,0.32142857142857145,0.06071428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
