seed,steps,n,topology,num_communities,p_in,p_out,bridge_fraction,delay_steps,k,alarm_threshold,influence_weight,learning,regulator,regulator_force,enable_content,enable_noise,bridge_multiplier,name,learning_mode,condition,L_mean_tail,L_max,L_amp_tail,L_std_tail,M_mean_tail,M_max,M_amp_tail,M_std_tail,R_mean_tail,R_max,R_amp_tail,R_std_tail,alarm_true_mean_tail,alarm_true_max,alarm_true_amp_tail,alarm_true_std_tail,alarm_delayed_mean_tail,alarm_delayed_max,alarm_delayed_amp_tail,alarm_delayed_std_tail,avg_repression_mean_tail,avg_repression_max,avg_repression_amp_tail,avg_repression_std_tail,punished_fraction_mean_tail,punished_fraction_max,punished_fraction_amp_tail,punished_fraction_std_tail,usefulness_mean_tail,usefulness_max,usefulness_amp_tail,usefulness_std_tail,regulator_force_mean_tail,regulator_force_max,regulator_force_amp_tail,regulator_force_std_tail,bridge_radical_fraction_mean_tail,bridge_radical_fraction_max,bridge_radical_fraction_amp_tail,bridge_radical_fraction_std_tail,dangerous_radical_bridge_fraction_mean_tail,dangerous_radical_bridge_fraction_max,dangerous_radical_bridge_fraction_amp_tail,dangerous_radical_bridge_fraction_std_tail,false_positive_rate_mean_tail,false_positive_rate_max,false_positive_rate_amp_tail,false_positive_rate_std_tail,false_negative_rate_mean_tail,false_negative_rate_max,false_negative_rate_amp_tail,false_negative_rate_std_tail,false_positive_bridge_rate_mean_tail,false_positive_bridge_rate_max,false_positive_bridge_rate_amp_tail,false_positive_bridge_rate_std_tail,false_negative_bridge_rate_mean_tail,false_negative_bridge_rate_max,false_negative_bridge_rate_amp_tail,false_negative_bridge_rate_std_tail,regime_fixed,regime
1,500,240,modular,6,0.08,0.004,0.12,0,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,q_learning,default,0.3794166666666666,0.8333333333333334,0.1166666666666667,0.025027901097242122,0.3981,0.475,0.14166666666666666,0.025127475002474878,0.22248333333333334,0.3875,0.10833333333333336,0.02063202069061045,0.6170835818240927,0.8350143278851493,0.13934928260819257,0.029413832916597,0.6169641700807198,0.8350143278851493,0.13934928260819257,0.029526096782648076,0.20011837758277093,0.5693788775553811,0.19208623253779644,0.0421569125396321,0.20001666666666668,0.5416666666666666,0.275,0.051804249611183226,2.114062832555474,2.370716128961089,0.22057019520158305,0.044645308914243946,1.0,1.0,0.0,0.0,0.278,0.4642857142857143,0.35714285714285715,0.06382117875081011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
2,500,240,modular,6,0.08,0.004,0.12,0,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,q_learning,default,0.3609333333333333,0.7875,0.1333333333333333,0.023553508820933194,0.42145000000000005,0.49166666666666664,0.125,0.022471469565750354,0.21761666666666668,0.3541666666666667,0.11250000000000002,0.01902849471479841,0.6241826339817569,0.7931353903153742,0.16741436938133325,0.027373487586051667,0.624246875849124,0.7931353903153742,0.16741436938133325,0.02738418660169364,0.2059495427633559,0.4954575576778216,0.24600286889147774,0.04023897060149882,0.20493333333333333,0.5416666666666666,0.25,0.04788407297259126,2.12806159236819,2.338089224511075,0.25215831804746003,0.041247863679816345,1.0,1.0,0.0,0.0,0.2094285714285714,0.4642857142857143,0.39285714285714285,0.06481433451933047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
3,500,240,modular,6,0.08,0.004,0.12,0,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,q_learning,default,0.37861666666666666,0.8,0.12083333333333335,0.023829026417375932,0.41291666666666665,0.48333333333333334,0.11249999999999999,0.0225562568309155,0.20846666666666666,0.3625,0.12916666666666668,0.021245496254762117,0.6021902425161766,0.7715743451004692,0.16975903154526717,0.02953237465981292,0.602215654086744,0.7715743451004692,0.16975903154526717,0.029525480835630506,0.17555352276334868,0.4589861085745548,0.2288136056724102,0.03899820144577556,0.17406666666666668,0.45,0.2541666666666667,0.04544796780690835,2.1057076585997594,2.3240117813033434,0.2449704228618188,0.044015251863819785,1.0,1.0,0.0,0.0,0.2424285714285714,0.4642857142857143,0.35714285714285715,0.06661509910351728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,oscillatory
4,500,240,modular,6,0.08,0.004,0.12,0,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,q_learning,default,0.38806666666666667,0.7791666666666667,0.12083333333333335,0.02401298259969663,0.4133833333333333,0.48333333333333334,0.1375,0.023255471279775095,0.19855,0.35,0.12916666666666668,0.021490831378365365,0.5919010499525389,0.7416598225482877,0.16293641145415372,0.02995723155409923,0.591906428731353,0.7416598225482877,0.16293641145415372,0.029957792196763203,0.1639030364731444,0.40971365129478576,0.20451421937518405,0.038182375181851455,0.161,0.4041666666666667,0.22499999999999998,0.04379370832538492,2.090595889906116,2.2806447604471463,0.22481887454511273,0.04433517407311104,1.0,1.0,0.0,0.0,0.2638571428571429,0.5,0.3928571428571429,0.07468860525610344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,oscillatory
5,500,240,modular,6,0.08,0.004,0.12,0,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,q_learning,default,0.36968333333333336,0.7666666666666667,0.125,0.0227332905669197,0.39881666666666665,0.475,0.13749999999999996,0.028634230680545034,0.2315,0.36666666666666664,0.11666666666666664,0.022781571499789034,0.622529126833686,0.7704038400923772,0.1575811750566487,0.026302557707025765,0.6223694512225252,0.7704038400923772,0.1575811750566487,0.026212513013180054,0.2020342793444001,0.4552720512317866,0.23034455619276573,0.03792369409891471,0.2045,0.4125,0.2583333333333333,0.047838269199459965,2.1080001593106066,2.263269140708434,0.23511579338522148,0.039213035382982264,1.0,1.0,0.0,0.0,0.2628571428571429,0.5,0.4285714285714286,0.07744649239102742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
6,500,240,modular,6,0.08,0.004,0.12,0,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,q_learning,default,0.33566666666666667,0.7958333333333333,0.16249999999999998,0.023795424396766327,0.4408,0.5041666666666667,0.14999999999999997,0.02516222918935796,0.22353333333333333,0.3458333333333333,0.15000000000000002,0.022529338896450354,0.6425486036091809,0.7279313478111883,0.17654713904032804,0.02977260148169693,0.6426974131125662,0.7279313478111883,0.17654713904032804,0.02964070399690438,0.23373704424473993,0.38057944049190673,0.260429034700681,0.04588429509839575,0.23168333333333332,0.3958333333333333,0.3125,0.05244427995501511,2.162382761240237,2.2827334675722972,0.2599986471305171,0.04338418340482878,1.0,1.0,0.0,0.0,0.23942857142857144,0.4642857142857143,0.3928571428571429,0.06616676519466953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oscillatory,oscillatory
7,500,240,modular,6,0.08,0.004,0.12,0,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,q_learning,default,0.4091,0.8416666666666667,0.125,0.0251654745854536,0.34815,0.425,0.1166666666666667,0.023392359863852987,0.24275,0.3375,0.10833333333333336,0.021953391284466484,0.6170480334235415,0.7406914663163682,0.15580498112603458,0.031659717348131694,0.6169755577473561,0.7406914663163682,0.15580498112603458,0.03169501663082141,0.2020320544556144,0.4165016424361286,0.21974698957287653,0.04606827238785803,0.20575,0.4791666666666667,0.275,0.05401189426619124,2.0916553312915656,2.259849927786519,0.22022639944281885,0.046636589892783534,1.0,1.0,0.0,0.0,0.2987142857142857,0.5,0.35714285714285715,0.07325786159665246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
8,500,240,modular,6,0.08,0.004,0.12,0,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,q_learning,default,0.39308333333333334,0.8,0.15416666666666667,0.026384049263817627,0.37888333333333335,0.4583333333333333,0.15833333333333333,0.027540177720720847,0.22803333333333334,0.3333333333333333,0.12916666666666668,0.022078622138973155,0.6140785770322782,0.729255942373828,0.18135921649316233,0.030185124254707832,0.6142464901743101,0.729255942373828,0.18135921649316233,0.030383925211319433,0.1954107474313055,0.3902080886068492,0.23994102241410392,0.04233115496201806,0.19331666666666666,0.3875,0.275,0.049641629595420095,2.0569483192105693,2.1892780734425936,0.2624501416409324,0.04502199268892512,1.0,1.0,0.0,0.0,0.3395714285714286,0.5714285714285714,0.46428571428571425,0.08325287272116519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,oscillatory
9,500,240,modular,6,0.08,0.004,0.12,0,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,q_learning,default,0.38680000000000003,0.7583333333333333,0.12916666666666665,0.023011084285622006,0.37560000000000004,0.44166666666666665,0.12083333333333335,0.023209217517567837,0.2376,0.375,0.12083333333333332,0.022028794287880984,0.6194878610422887,0.7821402801089382,0.16466380912524692,0.029022079696822474,0.6192301220143664,0.7821402801089382,0.16466380912524692,0.029139282490887087,0.20073009086384208,0.48152661308025624,0.23542998172593343,0.04235791596462112,0.20039999999999997,0.4708333333333333,0.24583333333333332,0.049543538652605565,2.1206254373151805,2.334837096461509,0.2400592764864895,0.04255944791691531,1.0,1.0,0.0,0.0,0.28014285714285714,0.4642857142857143,0.35714285714285715,0.0721009779434937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,oscillatory
10,500,240,modular,6,0.08,0.004,0.12,0,10.0,0.72,0.22,True,static,1.0,False,False,1.0,default,q_learning,default,0.3645333333333333,0.7875,0.125,0.023247556621909513,0.4057,0.5,0.15000000000000002,0.023532105728132365,0.22976666666666665,0.36666666666666664,0.10833333333333331,0.019398625380852803,0.6423444006047889,0.815522468549318,0.16708600471084245,0.027248495916012822,0.6422927409013027,0.815522468549318,0.16708600471084245,0.027202407234135355,0.23867056334395648,0.5422341567612802,0.2635809908135791,0.043192802446262765,0.24073333333333335,0.575,0.2666666666666667,0.04964838589745111,2.145395118450666,2.343472810830723,0.22913005330282799,0.04059537683680805,1.0,1.0,0.0,0.0,0.23999999999999996,0.5,0.3214285714285714,0.05909176537127553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
