seed,steps,n,topology,num_communities,p_in,p_out,bridge_fraction,delay_steps,k,alarm_threshold,influence_weight,learning,regulator,regulator_force,enable_content,enable_noise,bridge_multiplier,name,condition,L_mean_tail,L_max,L_amp_tail,L_std_tail,M_mean_tail,M_max,M_amp_tail,M_std_tail,R_mean_tail,R_max,R_amp_tail,R_std_tail,alarm_true_mean_tail,alarm_true_max,alarm_true_amp_tail,alarm_true_std_tail,alarm_delayed_mean_tail,alarm_delayed_max,alarm_delayed_amp_tail,alarm_delayed_std_tail,avg_repression_mean_tail,avg_repression_max,avg_repression_amp_tail,avg_repression_std_tail,punished_fraction_mean_tail,punished_fraction_max,punished_fraction_amp_tail,punished_fraction_std_tail,usefulness_mean_tail,usefulness_max,usefulness_amp_tail,usefulness_std_tail,regulator_force_mean_tail,regulator_force_max,regulator_force_amp_tail,regulator_force_std_tail,bridge_radical_fraction_mean_tail,bridge_radical_fraction_max,bridge_radical_fraction_amp_tail,bridge_radical_fraction_std_tail,dangerous_radical_bridge_fraction_mean_tail,dangerous_radical_bridge_fraction_max,dangerous_radical_bridge_fraction_amp_tail,dangerous_radical_bridge_fraction_std_tail,false_positive_rate_mean_tail,false_positive_rate_max,false_positive_rate_amp_tail,false_positive_rate_std_tail,false_negative_rate_mean_tail,false_negative_rate_max,false_negative_rate_amp_tail,false_negative_rate_std_tail,false_positive_bridge_rate_mean_tail,false_positive_bridge_rate_max,false_positive_bridge_rate_amp_tail,false_positive_bridge_rate_std_tail,false_negative_bridge_rate_mean_tail,false_negative_bridge_rate_max,false_negative_bridge_rate_amp_tail,false_negative_bridge_rate_std_tail,regime_fixed,regime
1,500,240,modular,6,0.08,0.004,0.12,15,3,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.4002166666666667,0.8333333333333334,0.15000000000000002,0.02653394576345135,0.4472833333333333,0.5333333333333333,0.14583333333333331,0.0256671049746125,0.1525,0.3875,0.11249999999999999,0.019818621994926327,0.5502077504265985,0.8350143278851493,0.15543485540451946,0.029754850929324967,0.5501814804909927,0.8350143278851493,0.1591808374523198,0.029764849598375588,0.2815307732711204,0.4388501133108814,0.08311230910180595,0.01564651698636113,0.28423333333333334,0.5166666666666667,0.17083333333333334,0.03282141915815883,2.0309809850349785,2.370716128961089,0.25488609182281374,0.046431223361753225,1.0,1.0,0.0,0.0,0.2074285714285714,0.42857142857142855,0.2857142857142857,0.061643477897884214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
2,500,240,modular,6,0.08,0.004,0.12,15,3,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.4043833333333333,0.7875,0.14999999999999997,0.027528172438027514,0.41868333333333335,0.4875,0.14166666666666666,0.02730541765535428,0.17693333333333333,0.3541666666666667,0.14583333333333331,0.02126253878433983,0.5577595999950428,0.7940337057588337,0.18913468012111762,0.030622203507361372,0.5578277236812863,0.7940337057588337,0.1460025986332973,0.029611943665272183,0.2795698077244322,0.40753329105963754,0.07563900140967822,0.01532871531828258,0.2775,0.44166666666666665,0.17916666666666664,0.033862466931200784,2.033176777152823,2.343260891703998,0.2929915496027897,0.0475733695445043,1.0,1.0,0.0,0.0,0.15685714285714283,0.42857142857142855,0.42857142857142855,0.06117822741959824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,oscillatory
3,500,240,modular,6,0.08,0.004,0.12,15,3,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.41096666666666665,0.8,0.14583333333333331,0.023848689691469423,0.42341666666666666,0.5125,0.12083333333333335,0.024735966840929335,0.16561666666666666,0.3625,0.1125,0.020164469577287007,0.5480987164927709,0.7715743451004692,0.14647281277899682,0.027174053680750286,0.5478791630208077,0.7715743451004692,0.14647281277899682,0.026997815014579,0.2740758689111432,0.39481098724050817,0.07504859734564462,0.013886307033565158,0.27233333333333337,0.42916666666666664,0.15833333333333335,0.031119840045290153,2.0354748889391705,2.3240117813033434,0.2323463161603554,0.04109377328999057,1.0,1.0,0.0,0.0,0.22528571428571428,0.5,0.35714285714285715,0.061249073295780054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
4,500,240,modular,6,0.08,0.004,0.12,15,3,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.4096166666666667,0.7791666666666667,0.14583333333333337,0.025837746934798064,0.42171666666666663,0.48333333333333334,0.13333333333333336,0.02360520775874115,0.1686666666666667,0.4125,0.12083333333333332,0.02096690513907837,0.5467959791719078,0.8276911810596349,0.17098998465926651,0.030128317049629184,0.5462674811831904,0.8276911810596349,0.17098998465926651,0.030237480623593795,0.27574699947413206,0.4290435247672653,0.08937950646999201,0.015697712654128324,0.2757166666666667,0.4666666666666667,0.175,0.02909706457130455,2.04624939480824,2.403362052431162,0.25789939545971197,0.04726149971297808,1.0,1.0,0.0,0.0,0.08099999999999999,0.5357142857142857,0.25,0.04923102555859486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,runaway
5,500,240,modular,6,0.08,0.004,0.12,15,3,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.37743333333333334,0.7666666666666667,0.14583333333333331,0.02691387498422824,0.43845000000000006,0.5083333333333333,0.14583333333333331,0.02632067733846444,0.18411666666666668,0.4041666666666667,0.09583333333333333,0.019137956758465333,0.5713846733391719,0.7959434054442368,0.15756304611633531,0.027744671404600386,0.5710664551050761,0.7959434054442368,0.15756304611633531,0.027883822868531118,0.28503784686635847,0.40656465955010124,0.08159669454904175,0.01450497634322095,0.2844333333333333,0.42916666666666664,0.18333333333333332,0.03271571148206589,2.0556796380802433,2.3058376054452188,0.26156236900832286,0.04495834194643563,1.0,1.0,0.0,0.0,0.2457142857142857,0.4642857142857143,0.3928571428571429,0.06926730241371805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,runaway
6,500,240,modular,6,0.08,0.004,0.12,15,3,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.44120000000000004,0.7958333333333333,0.12499999999999994,0.025313127907163988,0.38005,0.44583333333333336,0.1333333333333333,0.02549477615338309,0.17875,0.3625,0.10416666666666667,0.019927821144208303,0.5300923071095704,0.7487882637806184,0.14372157779445677,0.028241818862997124,0.529887984692588,0.7487882637806184,0.14372157779445677,0.028039921859533044,0.26458543019156433,0.3818678642921825,0.07270124826304272,0.014171802285423628,0.2668666666666667,0.4041666666666667,0.15833333333333335,0.028615535795942892,1.9840743155291154,2.2796126173410713,0.22489915399923888,0.04375133859737111,1.0,1.0,0.0,0.0,0.22457142857142856,0.5,0.4642857142857143,0.07253654954854251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
7,500,240,modular,6,0.08,0.004,0.12,15,3,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.41183333333333333,0.8416666666666667,0.14166666666666666,0.02545093318524882,0.4325,0.525,0.14166666666666666,0.023924069702103593,0.15566666666666668,0.37083333333333335,0.09166666666666666,0.018400634047046675,0.5540699331167646,0.809781938045892,0.14623903044969933,0.028365736154187773,0.5547219381431651,0.809781938045892,0.14623903044969933,0.02816950582162464,0.2859926173800745,0.4281215089056304,0.07823682279055727,0.015039689702197004,0.28780000000000006,0.42916666666666664,0.20833333333333334,0.03110768036639469,2.0233698248860215,2.3388529477330007,0.24165657198407975,0.044099337576223016,1.0,1.0,0.0,0.0,0.13814285714285712,0.5357142857142857,0.35714285714285715,0.06105551171027954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
8,500,240,modular,6,0.08,0.004,0.12,15,3,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.3815333333333333,0.8,0.1791666666666667,0.028315366852647343,0.4168333333333334,0.4875,0.14166666666666666,0.025910637026347133,0.20163333333333336,0.35,0.1166666666666667,0.02152450799540943,0.6015363331962547,0.7846294225323135,0.19481719040279188,0.0315777861760667,0.6007338769109115,0.7846294225323135,0.19481719040279188,0.031209699077222024,0.30707716218114356,0.40900335650390285,0.1056117283464324,0.016915307025604554,0.30933333333333335,0.4041666666666667,0.18333333333333335,0.03418657956307156,2.056147682394787,2.2696101047267168,0.3136600295471632,0.04906218230261117,1.0,1.0,0.0,0.0,0.20371428571428568,0.4642857142857143,0.35714285714285715,0.06444804900389277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
9,500,240,modular,6,0.08,0.004,0.12,15,3,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.42926666666666663,0.7583333333333333,0.15416666666666667,0.026830041205915266,0.39385000000000003,0.4583333333333333,0.12916666666666665,0.02580422553682934,0.17688333333333336,0.37083333333333335,0.10416666666666666,0.020200254398838095,0.545146842795014,0.784671882748194,0.1530349297396968,0.02950242922135166,0.5450413374935478,0.784671882748194,0.1530349297396968,0.03035017674019336,0.27532438968215545,0.4058893318631493,0.07886654193235518,0.015716961195415487,0.27325,0.4125,0.1625,0.033832614934901695,2.0244997431917766,2.3436923403789107,0.24643744318735528,0.046731372539197034,1.0,1.0,0.0,0.0,0.2888571428571428,0.5357142857142857,0.39285714285714285,0.07135939507385221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
10,500,240,modular,6,0.08,0.004,0.12,15,3,0.72,0.22,True,static,1.0,False,False,1.0,default,default,0.45226666666666665,0.7875,0.15833333333333338,0.02620699652128543,0.3992833333333334,0.475,0.15416666666666662,0.02564122656972556,0.14845,0.3625,0.11666666666666665,0.019948551882836563,0.514567306108923,0.815522468549318,0.19073696895690762,0.029463693002014558,0.5140379027544557,0.815522468549318,0.19073696895690762,0.029713232955062677,0.2631913439242785,0.42884962858762943,0.09876389282752993,0.015318130435522756,0.26326666666666665,0.48333333333333334,0.19583333333333336,0.03315947995839367,1.957409683503567,2.379960368207132,0.28052652841529535,0.044951255434103235,1.0,1.0,0.0,0.0,0.25057142857142856,0.5714285714285714,0.35714285714285715,0.0693974062915899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
