seed,steps,n,topology,num_communities,p_in,p_out,bridge_fraction,delay_steps,k,alarm_threshold,influence_weight,learning,regulator,regulator_force,enable_content,enable_noise,bridge_multiplier,name,condition,L_mean_tail,L_max,L_amp_tail,L_std_tail,M_mean_tail,M_max,M_amp_tail,M_std_tail,R_mean_tail,R_max,R_amp_tail,R_std_tail,alarm_true_mean_tail,alarm_true_max,alarm_true_amp_tail,alarm_true_std_tail,alarm_delayed_mean_tail,alarm_delayed_max,alarm_delayed_amp_tail,alarm_delayed_std_tail,avg_repression_mean_tail,avg_repression_max,avg_repression_amp_tail,avg_repression_std_tail,punished_fraction_mean_tail,punished_fraction_max,punished_fraction_amp_tail,punished_fraction_std_tail,usefulness_mean_tail,usefulness_max,usefulness_amp_tail,usefulness_std_tail,regulator_force_mean_tail,regulator_force_max,regulator_force_amp_tail,regulator_force_std_tail,bridge_radical_fraction_mean_tail,bridge_radical_fraction_max,bridge_radical_fraction_amp_tail,bridge_radical_fraction_std_tail,dangerous_radical_bridge_fraction_mean_tail,dangerous_radical_bridge_fraction_max,dangerous_radical_bridge_fraction_amp_tail,dangerous_radical_bridge_fraction_std_tail,false_positive_rate_mean_tail,false_positive_rate_max,false_positive_rate_amp_tail,false_positive_rate_std_tail,false_negative_rate_mean_tail,false_negative_rate_max,false_negative_rate_amp_tail,false_negative_rate_std_tail,false_positive_bridge_rate_mean_tail,false_positive_bridge_rate_max,false_positive_bridge_rate_amp_tail,false_positive_bridge_rate_std_tail,false_negative_bridge_rate_mean_tail,false_negative_bridge_rate_max,false_negative_bridge_rate_amp_tail,false_negative_bridge_rate_std_tail,regime_fixed,regime
1,500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,False,static,1.0,False,False,1.0,fixed_agents_static_regulator,fixed_agents_static_regulator,0.6477166666666667,0.8333333333333334,0.14166666666666672,0.028079653567030422,0.2728666666666667,0.36666666666666664,0.17916666666666664,0.02791910934587038,0.07941666666666668,0.15,0.11249999999999999,0.017740607843776568,0.3232985483203622,0.4190837091675709,0.1672326139607248,0.028287139789772816,0.32350896169306825,0.4190837091675709,0.1672326139607248,0.02854886964111208,0.014507518748361542,0.0352432708802539,0.02836146837423493,0.004191039203131055,0.014849999999999999,0.04583333333333333,0.04583333333333333,0.009088591750100782,1.625031139296782,1.76551236484135,0.25379196393726167,0.045521871835055044,1.0,1.0,0.0,0.0,0.07914285714285713,0.25,0.25,0.04919432520782312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
2,500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,False,static,1.0,False,False,1.0,fixed_agents_static_regulator,fixed_agents_static_regulator,0.6500833333333333,0.7875,0.17916666666666659,0.03001492684204533,0.2713,0.3416666666666667,0.15,0.027839899425105688,0.07861666666666667,0.13333333333333333,0.09166666666666667,0.016224646888812918,0.3143835928677126,0.40692564952300064,0.17032152803011016,0.02967127121384626,0.31427488911807705,0.40692564952300064,0.17032152803011016,0.030228091403206925,0.013030444561879108,0.030718688383957003,0.023801275982909046,0.00398038044001286,0.013699999999999999,0.04583333333333333,0.04583333333333333,0.009041816435011521,1.6149077434675834,1.7704306872827908,0.29570701874914884,0.047865015364281664,1.0,1.0,0.0,0.0,0.08099999999999999,0.2857142857142857,0.2857142857142857,0.0516584149653732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
3,500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,False,static,1.0,False,False,1.0,fixed_agents_static_regulator,fixed_agents_static_regulator,0.6490666666666666,0.8,0.1875,0.029839217296854303,0.2683666666666667,0.37083333333333335,0.17916666666666667,0.02917664591187045,0.08256666666666665,0.12916666666666668,0.10416666666666669,0.01710168932526193,0.3182011844222907,0.40255011089379206,0.16797039630510358,0.02951335914732626,0.31756129753978424,0.40255011089379206,0.16797039630510358,0.029459814772086652,0.013419335292670817,0.02942129983007168,0.023751158455600493,0.004049947592703713,0.01325,0.05416666666666667,0.041666666666666664,0.008550909633223564,1.6286939427414084,1.7773999554364117,0.27812749975456663,0.047929486823418646,1.0,1.0,0.0,0.0,0.07785714285714283,0.25,0.25,0.04859768198049729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
4,500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,False,static,1.0,False,False,1.0,fixed_agents_static_regulator,fixed_agents_static_regulator,0.6497499999999999,0.7791666666666667,0.1791666666666667,0.030718366746224576,0.2687333333333333,0.36666666666666664,0.18333333333333332,0.028575552876929998,0.08151666666666667,0.14166666666666666,0.10833333333333334,0.018520776621585463,0.3199970139479095,0.421084382237286,0.17668002063661356,0.03239163713714991,0.32005234240076413,0.421084382237286,0.17668002063661356,0.0320949808913924,0.013986156694095277,0.0354420518803987,0.029135181563938524,0.004641806373694444,0.013833333333333333,0.058333333333333334,0.041666666666666664,0.008368260140422128,1.6360282662946974,1.8005383008850382,0.2739762540887878,0.05143726391346018,1.0,1.0,0.0,0.0,0.08299999999999999,0.25,0.25,0.05114784492836747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
5,500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,False,static,1.0,False,False,1.0,fixed_agents_static_regulator,fixed_agents_static_regulator,0.6518333333333333,0.7666666666666667,0.19166666666666665,0.028681197867437665,0.27031666666666665,0.3541666666666667,0.15000000000000002,0.02725032619580503,0.07784999999999999,0.15,0.0875,0.01680367849939742,0.31129989663506874,0.4020205490847459,0.17090046521076813,0.028518011332504513,0.3121897085060659,0.4020205490847459,0.17090046521076813,0.028497503965778295,0.012644000782461515,0.029163048910952546,0.023462424086789092,0.0036318207152554708,0.01255,0.05416666666666667,0.05416666666666667,0.008092194455838978,1.5997427971040616,1.7602162930470198,0.3037556880887402,0.04637828290943344,1.0,1.0,0.0,0.0,0.08128571428571428,0.2857142857142857,0.2857142857142857,0.05219449497909189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
6,500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,False,static,1.0,False,False,1.0,fixed_agents_static_regulator,fixed_agents_static_regulator,0.6483666666666666,0.7958333333333333,0.16666666666666663,0.03289670702871845,0.2732166666666667,0.3625,0.16666666666666666,0.03079186851535104,0.07841666666666668,0.13333333333333333,0.1,0.018140845564024236,0.31556657337599237,0.41082035573031855,0.17911486073294144,0.03183413794971455,0.31514460889021223,0.41082035573031855,0.17911486073294144,0.0315352000146937,0.013170364997978272,0.031809216147233504,0.026146274387779864,0.004278383446029342,0.012199999999999999,0.05,0.05,0.008065289138579526,1.6139892897854702,1.7704003635204197,0.29125418233579636,0.05275325845966035,1.0,1.0,0.0,0.0,0.07899999999999999,0.25,0.21428571428571427,0.049164654634260604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
7,500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,False,static,1.0,False,False,1.0,fixed_agents_static_regulator,fixed_agents_static_regulator,0.6485166666666666,0.8416666666666667,0.20416666666666672,0.033434550492965606,0.26975,0.3541666666666667,0.17500000000000002,0.03191362039422458,0.08173333333333334,0.14166666666666666,0.10416666666666666,0.018248165813460695,0.32765488692379646,0.44158527954074583,0.18675527182315366,0.033957060119222574,0.32684250791942543,0.44158527954074583,0.18675527182315366,0.03349617996789261,0.015340366924555017,0.043940078021528946,0.03325816328157903,0.005499302869841933,0.015050000000000001,0.0625,0.05416666666666667,0.010339259053615872,1.6329538860994435,1.8120492852524344,0.29373448989682793,0.053321613626390534,1.0,1.0,0.0,0.0,0.08157142857142857,0.25,0.25,0.054624693526436764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
8,500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,False,static,1.0,False,False,1.0,fixed_agents_static_regulator,fixed_agents_static_regulator,0.6527166666666667,0.8,0.16666666666666663,0.029996208093690774,0.2673000000000001,0.3625,0.14583333333333334,0.026737177612206314,0.07998333333333332,0.13333333333333333,0.09583333333333333,0.01781735265283694,0.31872876226195707,0.420738715021438,0.1906443540798202,0.0314547902255515,0.31908311589140714,0.420738715021438,0.1906443540798202,0.0312655735154088,0.013932310132932745,0.035625667350213025,0.02778478811388057,0.0044766263154657655,0.013216666666666666,0.05416666666666667,0.05416666666666667,0.008553767850745334,1.5888192954297407,1.743749585214928,0.28866317428667476,0.04869488643247454,1.0,1.0,0.0,0.0,0.07999999999999999,0.32142857142857145,0.32142857142857145,0.05089003751587679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
9,500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,False,static,1.0,False,False,1.0,fixed_agents_static_regulator,fixed_agents_static_regulator,0.6503333333333332,0.7625,0.1958333333333333,0.031748140802957965,0.2693,0.35,0.17916666666666667,0.028570264261990996,0.08036666666666667,0.12916666666666668,0.09166666666666667,0.018060976963854666,0.3184287890377617,0.4039945247541838,0.17360217756485194,0.03321131005295869,0.3183949475224359,0.4039945247541838,0.17360217756485194,0.033172246823372775,0.013810074877971456,0.03012377810508596,0.0229573805508796,0.004640764001103755,0.013983333333333332,0.05,0.04583333333333333,0.008761167476743928,1.6305513181208242,1.769630096694282,0.3062433796583366,0.053281457854160136,1.0,1.0,0.0,0.0,0.07971428571428571,0.25,0.25,0.04992565901990107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
10,500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,False,static,1.0,False,False,1.0,fixed_agents_static_regulator,fixed_agents_static_regulator,0.6505833333333333,0.7875,0.1791666666666667,0.03086496125598303,0.26863333333333334,0.3416666666666667,0.15000000000000002,0.027126637175375137,0.08078333333333333,0.12916666666666668,0.07916666666666666,0.015884487541134102,0.32267168165372756,0.4109524255622076,0.16711542973046342,0.03133821652504638,0.3225527732815776,0.4109524255622076,0.16711542973046342,0.031539269701354476,0.014510715763335806,0.03266316017469015,0.024371451341792468,0.004579234358481645,0.013966666666666669,0.041666666666666664,0.041666666666666664,0.008186302923515324,1.6244004560935257,1.7630045352305606,0.2852599297977054,0.05053491571547412,1.0,1.0,0.0,0.0,0.0797142857142857,0.25,0.25,0.049925659019901064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable,stable
