net,mode,delay,runaway_pct
6c_0.08_0.004,fixed,0,0
6c_0.08_0.004,fixed,8,0
6c_0.08_0.004,fixed,20,0
6c_0.08_0.004,reactive,0,0
6c_0.08_0.004,reactive,8,97
6c_0.08_0.004,reactive,20,97
6c_0.08_0.004,q_learning,0,10
6c_0.08_0.004,q_learning,8,30
6c_0.08_0.004,q_learning,20,67
4c_0.15_0.02,fixed,0,0
4c_0.15_0.02,fixed,8,0
4c_0.15_0.02,fixed,20,0
4c_0.15_0.02,reactive,0,27
4c_0.15_0.02,reactive,8,100
4c_0.15_0.02,reactive,20,100
4c_0.15_0.02,q_learning,0,10
4c_0.15_0.02,q_learning,8,47
4c_0.15_0.02,q_learning,20,77
